name,group,protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g),id
"Cereal ready-to-eat, CRISPY BROWN RICE",Breakfast Cereals,7.1,0.028,0.012,7.3,0,0.238,86,9.1,3.5,3,388,0.688,1.011,1.473,29438
"Cereals ready-to-eat, APPLE CINNAMON SQUARES MINI-WHEATS",Breakfast Cereals,7.2,0.038,0.036,8.6,0,0.302,80.1,21.2,1.8,9.5,331,0.4,0.5,0.9,29444
"Cereals ready-to-eat, Cranberry Macadamia Nut Cereal",Breakfast Cereals,6.64,0.126,0.418,6,0.0179,0.224,76.98,28.73,9.82,4.26,408,1.65,6.54,0.84,29445
"Cereals ready-to-eat, FAMILIA",Breakfast Cereals,9.5,0.173,0.05,8.5,0.0006,0.494,73.8,26.2,6.3,1.9,388,0.711,3.205,1.656,29446
"Cereals ready-to-eat, GENERAL MILLS Cinnamon CHEX",Breakfast Cereals,4.6,0.333,0.612,2.2,0.02,0.135,82.9,26,6.8,2.3,403,0.7,4.5,1.4,29447
"Cereals ready-to-eat, GENERAL MILLS Peanut Butter Toast Crunch",Breakfast Cereals,6.67,0.333,0.45,3.3,0.02,0.2,76,43.33,11.67,2.1,433,1.67,6.67,3.33,29448
"Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS",Breakfast Cereals,6.67,0.333,0.442,4,0.02,0.2,83.33,43.33,5,2.3,400,,3.33,1.67,29449
"Cereals ready-to-eat, GENERAL MILLS, BASIC 4",Breakfast Cereals,7,0.455,0.586,6.3,0,0.286,78.8,25.45,4,6.27,358,1.4,1.3,0.9,29450
"Cereals ready-to-eat, GENERAL MILLS, BERRY BERRY KIX",Breakfast Cereals,3.33,0.385,0.69,3.3,0.02,0.156,86.67,30,3.5,2.3,379,0.5,1.5,1.1,29451
"Cereals ready-to-eat, GENERAL MILLS, BOO BERRY",Breakfast Cereals,5.1,0.067,0.59,3.2,0.02,0.131,86.9,36.4,3.33,2.02,384,0.522,1.67,,29452
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS",Breakfast Cereals,11.33,0.408,0.571,10.1,0.0244,0.609,74.68,4.02,5.9,3.76,367,0.954,1.917,1.973,29453
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut",Breakfast Cereals,5.4,0.357,0.57,6.1,0.0536,0.252,84.7,33.4,4,2.2,374,0.7,1.2,1.9,29454
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate",Breakfast Cereals,5.6,0.37,0.629,6.2,0.0556,0.291,83.4,34.5,5.1,2.2,380,1.1,1.6,2.1,29455
"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Yogurt Burst",Breakfast Cereals,6.67,0.333,0.584,6.7,0.05,0.233,81.75,33.33,5.23,2.23,400,1.667,1.667,1.667,29456
"Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS",Breakfast Cereals,5.3,0.357,0.568,5.2,0.0214,0.23,84.8,42.86,4,2.34,378,0.551,1.607,1.145,29457
"Cereals ready-to-eat, GENERAL MILLS, CINNAMON TOAST CRUNCH",Breakfast Cereals,5.27,0.451,0.701,3.8,0.0235,0.152,79.73,33.15,9.38,2.64,414,1.422,3.211,3.061,29458
"Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS",Breakfast Cereals,5.2,0.333,0.546,6.5,0.02,0.266,84.4,42.3,5.1,1.8,385,,3.33,,29459
"Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP",Breakfast Cereals,4.7,0.385,0.554,4.6,0.02,0.185,85.8,39.6,3.6,2.3,377,0.6,1,1.4,29460
"Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA",Breakfast Cereals,4.3,0.37,0.587,3.8,0.02,0.194,86.4,44.9,3.7,2.02,382,0.692,1.633,0.703,29461
"Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX",Breakfast Cereals,4.9,0.313,0.745,1.8,0.0188,0.169,80.9,26.2,8.3,2.2,411,1.3,5.1,1.6,29462
"Cereals ready-to-eat, GENERAL MILLS, Cinnamon Grahams",Breakfast Cereals,5,0.333,0.789,3.2,0.02,0.147,86,38,2.8,2.63,378,0.5,1.012,1.04,29463
"Cereals ready-to-eat, GENERAL MILLS, Cinnamon Toast Crunch, reduced sugar",Breakfast Cereals,4.9,0.714,0.718,8.9,0.02,0.15,77.4,22.1,10.2,2.64,381,1,6.8,2.1,29464
"Cereals ready-to-eat, GENERAL MILLS, Corn CHEX",Breakfast Cereals,6.67,0.333,0.762,4,0.02,0.15,85.06,10,1.67,2.5,367,0.381,0.381,0.657,29465
"Cereals ready-to-eat, GENERAL MILLS, Curves Fruit & Nut Crunch cereal",Breakfast Cereals,6.12,0.204,0.49,10.2,0.0122,0.306,85.44,20.41,3.06,3,347,0.389,1.411,1.02,29466
"Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER",Breakfast Cereals,3.7,0.37,0.643,11.1,0.0222,0.186,84.97,22.22,5.56,2.79,370,0.495,2.938,1.79,29467
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE",Breakfast Cereals,6.67,0.333,0.352,47.3,0.02,0.6,83.33,,3.33,3.19,200,0.379,0.44,1.366,29468
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Caramel Delight",Breakfast Cereals,6,0.2,0.452,16.7,0.012,0.263,82.5,21.5,5.9,2.8,352,1.2,2.3,2.3,29469
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Honey Clusters",Breakfast Cereals,6.5,0.192,0.462,24.5,0,0.349,84.9,11.2,2.8,2.7,301,0.5,0.5,1,29470
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Raisin Bran Clusters",Breakfast Cereals,5.2,0.182,0.384,21,0,0.391,85.2,24.6,2.2,4.6,311,0.4,0.4,0.7,29471
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Shredded Wheat",Breakfast Cereals,8.4,0,0.002,13.7,0,0.305,81.7,20.3,1.7,6,321,0.3,0.3,0.7,29472
"Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY",Breakfast Cereals,5,0.303,0.59,3.2,0.02,0.131,86.9,37.3,3,2.02,384,0.5,0.9,1.3,29473
"Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS",Breakfast Cereals,7.5,0.357,0.617,6,0.0214,0.208,82.6,36.8,3.9,2.2,378,0.9,1.4,1.4,29474
"Cereals ready-to-eat, GENERAL MILLS, French Toast Crunch",Breakfast Cereals,6.25,0.313,0.719,3.1,0.0188,0.141,77.55,34.38,10.94,2.05,438,0.592,7.81,1.56,29475
"Cereals ready-to-eat, GENERAL MILLS, Frosted CHEX",Breakfast Cereals,3.65,0.333,0.6,,0.02,0.1,89.26,33.33,1.67,2.2,367,0.317,0.503,0.589,29476
"Cereals ready-to-eat, GENERAL MILLS, Fruity CHEERIOS",Breakfast Cereals,5.81,0.37,0.493,6,0.0556,0.217,85.6,33.33,3.9,2.55,370,0.456,1.458,1.407,29477
"Cereals ready-to-eat, GENERAL MILLS, GENERAL MILLS Berry Burst CHEERIOS, all flavors",Breakfast Cereals,10,0.37,0.639,7.3,0.07,0.259,80,31.11,4,2.07,367,,2.536,1.272,29478
"Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS",Breakfast Cereals,5.1,0.323,0.852,4.3,0.02,0.189,84.6,34.3,3.7,2.2,378,0.323,1.67,0.982,29479
"Cereals ready-to-eat, GENERAL MILLS, HARMONY",Breakfast Cereals,11,1.091,0.645,4,0.055,0.166,79,24,2.2,2.83,365,0.5,0.814,0.601,29480
"Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS",Breakfast Cereals,10.71,0.357,0.568,7.1,0.0214,0.411,77.33,32.14,5.36,2.2,393,,1.79,1.79,29481
"Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CLUSTERS",Breakfast Cereals,7.27,0.036,0.515,5.5,0.0109,0.245,83.64,30.91,4.55,2.15,382,,2.73,0.91,29482
"Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX",Breakfast Cereals,6.67,0.333,0.619,1,0.02,0.117,86,30,1.67,2.2,400,0.278,0.585,0.615,29483
"Cereals ready-to-eat, GENERAL MILLS, KABOOM",Breakfast Cereals,3.33,0.333,0.633,3.3,0.02,0.133,87.26,20,3.33,2.37,400,0.452,1.116,1.341,29484
"Cereals ready-to-eat, GENERAL MILLS, KIX",Breakfast Cereals,6.8,0.57,0.631,8.9,0.0254,0.188,84.9,9.76,2.6,2.79,367,0.432,0.743,0.958,29485
