name,protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g),id
CRISPY BROWN RICE,7.1,0.028,0.012,7.3,0,0.238,86,9.1,3.5,3,388,0.688,1.011,1.473,29438
APPLE CINNAMON SQUARES MINI-WHEATS,7.2,0.038,0.036,8.6,0,0.302,80.1,21.2,1.8,9.5,331,0.4,0.5,0.9,29444
Cranberry Macadamia Nut Cereal,6.64,0.126,0.418,6,0.0179,0.224,76.98,28.73,9.82,4.26,408,1.65,6.54,0.84,29445
FAMILIA,9.5,0.173,0.05,8.5,0.0006,0.494,73.8,26.2,6.3,1.9,388,0.711,3.205,1.656,29446
GENERAL MILLS Cinnamon CHEX,4.6,0.333,0.612,2.2,0.02,0.135,82.9,26,6.8,2.3,403,0.7,4.5,1.4,29447
GENERAL MILLS Peanut Butter Toast Crunch,6.67,0.333,0.45,3.3,0.02,0.2,76,43.33,11.67,2.1,433,1.67,6.67,3.33,29448
"GENERAL MILLS, APPLE CINNAMON CHEERIOS",6.67,0.333,0.442,4,0.02,0.2,83.33,43.33,5,2.3,400,,3.33,1.67,29449
"GENERAL MILLS, BASIC 4",7,0.455,0.586,6.3,0,0.286,78.8,25.45,4,6.27,358,1.4,1.3,0.9,29450
"GENERAL MILLS, BERRY BERRY KIX",3.33,0.385,0.69,3.3,0.02,0.156,86.67,30,3.5,2.3,379,0.5,1.5,1.1,29451
"GENERAL MILLS, BOO BERRY",5.1,0.067,0.59,3.2,0.02,0.131,86.9,36.4,3.33,2.02,384,0.522,1.67,,29452
"GENERAL MILLS, CHEERIOS",11.33,0.408,0.571,10.1,0.0244,0.609,74.68,4.02,5.9,3.76,367,0.954,1.917,1.973,29453
"GENERAL MILLS, CHEERIOS, Banana Nut",5.4,0.357,0.57,6.1,0.0536,0.252,84.7,33.4,4,2.2,374,0.7,1.2,1.9,29454
"GENERAL MILLS, CHEERIOS, Chocolate",5.6,0.37,0.629,6.2,0.0556,0.291,83.4,34.5,5.1,2.2,380,1.1,1.6,2.1,29455
"GENERAL MILLS, CHEERIOS, Yogurt Burst",6.67,0.333,0.584,6.7,0.05,0.233,81.75,33.33,5.23,2.23,400,1.667,1.667,1.667,29456
"GENERAL MILLS, CHOCOLATE LUCKY CHARMS",5.3,0.357,0.568,5.2,0.0214,0.23,84.8,42.86,4,2.34,378,0.551,1.607,1.145,29457
"GENERAL MILLS, CINNAMON TOAST CRUNCH",5.27,0.451,0.701,3.8,0.0235,0.152,79.73,33.15,9.38,2.64,414,1.422,3.211,3.061,29458
"GENERAL MILLS, COCOA PUFFS",5.2,0.333,0.546,6.5,0.02,0.266,84.4,42.3,5.1,1.8,385,,3.33,,29459
"GENERAL MILLS, COOKIE CRISP",4.7,0.385,0.554,4.6,0.02,0.185,85.8,39.6,3.6,2.3,377,0.6,1,1.4,29460
"GENERAL MILLS, COUNT CHOCULA",4.3,0.37,0.587,3.8,0.02,0.194,86.4,44.9,3.7,2.02,382,0.692,1.633,0.703,29461
"GENERAL MILLS, Chocolate CHEX",4.9,0.313,0.745,1.8,0.0188,0.169,80.9,26.2,8.3,2.2,411,1.3,5.1,1.6,29462
"GENERAL MILLS, Cinnamon Grahams",5,0.333,0.789,3.2,0.02,0.147,86,38,2.8,2.63,378,0.5,1.012,1.04,29463
"GENERAL MILLS, Cinnamon Toast Crunch, reduced sugar",4.9,0.714,0.718,8.9,0.02,0.15,77.4,22.1,10.2,2.64,381,1,6.8,2.1,29464
"GENERAL MILLS, Corn CHEX",6.67,0.333,0.762,4,0.02,0.15,85.06,10,1.67,2.5,367,0.381,0.381,0.657,29465
"GENERAL MILLS, Curves Fruit & Nut Crunch cereal",6.12,0.204,0.49,10.2,0.0122,0.306,85.44,20.41,3.06,3,347,0.389,1.411,1.02,29466
"GENERAL MILLS, DORA THE EXPLORER",3.7,0.37,0.643,11.1,0.0222,0.186,84.97,22.22,5.56,2.79,370,0.495,2.938,1.79,29467
"GENERAL MILLS, FIBER ONE",6.67,0.333,0.352,47.3,0.02,0.6,83.33,,3.33,3.19,200,0.379,0.44,1.366,29468
"GENERAL MILLS, FIBER ONE, Caramel Delight",6,0.2,0.452,16.7,0.012,0.263,82.5,21.5,5.9,2.8,352,1.2,2.3,2.3,29469
"GENERAL MILLS, FIBER ONE, Honey Clusters",6.5,0.192,0.462,24.5,0,0.349,84.9,11.2,2.8,2.7,301,0.5,0.5,1,29470
"GENERAL MILLS, FIBER ONE, Raisin Bran Clusters",5.2,0.182,0.384,21,0,0.391,85.2,24.6,2.2,4.6,311,0.4,0.4,0.7,29471
"GENERAL MILLS, FIBER ONE, Shredded Wheat",8.4,0,0.002,13.7,0,0.305,81.7,20.3,1.7,6,321,0.3,0.3,0.7,29472
"GENERAL MILLS, FRANKENBERRY",5,0.303,0.59,3.2,0.02,0.131,86.9,37.3,3,2.02,384,0.5,0.9,1.3,29473
"GENERAL MILLS, FROSTED CHEERIOS",7.5,0.357,0.617,6,0.0214,0.208,82.6,36.8,3.9,2.2,378,0.9,1.4,1.4,29474
"GENERAL MILLS, French Toast Crunch",6.25,0.313,0.719,3.1,0.0188,0.141,77.55,34.38,10.94,2.05,438,0.592,7.81,1.56,29475
"GENERAL MILLS, Frosted CHEX",3.65,0.333,0.6,,0.02,0.1,89.26,33.33,1.67,2.2,367,0.317,0.503,0.589,29476
"GENERAL MILLS, Fruity CHEERIOS",5.81,0.37,0.493,6,0.0556,0.217,85.6,33.33,3.9,2.55,370,0.456,1.458,1.407,29477
"GENERAL MILLS, GENERAL MILLS Berry Burst CHEERIOS, all flavors",10,0.37,0.639,7.3,0.07,0.259,80,31.11,4,2.07,367,,2.536,1.272,29478
"GENERAL MILLS, GOLDEN GRAHAMS",5.1,0.323,0.852,4.3,0.02,0.189,84.6,34.3,3.7,2.2,378,0.323,1.67,0.982,29479
"GENERAL MILLS, HARMONY",11,1.091,0.645,4,0.055,0.166,79,24,2.2,2.83,365,0.5,0.814,0.601,29480
"GENERAL MILLS, HONEY NUT CHEERIOS",10.71,0.357,0.568,7.1,0.0214,0.411,77.33,32.14,5.36,2.2,393,,1.79,1.79,29481
"GENERAL MILLS, HONEY NUT CLUSTERS",7.27,0.036,0.515,5.5,0.0109,0.245,83.64,30.91,4.55,2.15,382,,2.73,0.91,29482
"GENERAL MILLS, Honey Nut CHEX",6.67,0.333,0.619,1,0.02,0.117,86,30,1.67,2.2,400,0.278,0.585,0.615,29483
"GENERAL MILLS, KABOOM",3.33,0.333,0.633,3.3,0.02,0.133,87.26,20,3.33,2.37,400,0.452,1.116,1.341,29484
"GENERAL MILLS, KIX",6.8,0.57,0.631,8.9,0.0254,0.188,84.9,9.76,2.6,2.79,367,0.432,0.743,0.958,29485
"GENERAL MILLS, LUCKY CHARMS",7.02,0.399,0.721,4.7,0.0233,0.182,82.9,39.93,3.63,3.17,407,0.602,1.195,1.183,29486
"GENERAL MILLS, Multi-Bran CHEX",6.9,0.213,0.564,12.1,0.0128,0.379,84.06,20.69,2.59,2.5,328,0.481,0.589,0.86,29487
"GENERAL MILLS, Multi-Grain Cheerios",6.9,0.345,0.555,9.3,0.0517,0.292,83.34,20.69,3.45,2.5,379,0.531,1.011,1.38,29488
"GENERAL MILLS, NATURE VALLEY LOW FAT FRUIT GRANOLA",8,0.036,0.376,5,0,0.279,80,33.41,4.6,6.72,386,0.85,2.115,1.142,29489
"GENERAL MILLS, OATMEAL CRISP with Almonds",9.09,0.036,0.207,7.5,0.0109,0.327,77.25,29.09,8.18,2.86,400,0.91,3.64,2.73,29490
"GENERAL MILLS, OATMEAL CRISP, APPLE CINNAMON",7.27,0.036,0.491,7.3,0.0109,0.309,84,34.55,3.64,2.59,382,0.91,1.82,0.91,29491
"GENERAL MILLS, Oatmeal Crisp, Raisin",8.5,0.032,0.196,7.5,0,0.346,83.1,31.9,3.9,2.5,382,0.8,1.1,1.3,29492
"GENERAL MILLS, RAISIN NUT BRAN",7.27,0.036,0.461,9.8,0,0.35,76.36,27.27,6.36,7.54,364,0.91,2.73,0.91,29493
"GENERAL MILLS, REESE'S PUFFS",6.67,0.333,0.662,4,0.02,0.217,75.86,40,11.67,2.67,433,1.67,5,3.33,29494
"GENERAL MILLS, Rice CHEX",6.45,0.37,0.91,1,0.0222,0.167,85.42,7.41,1.61,2.5,382,0.348,0.552,0.525,29495
"GENERAL MILLS, TOTAL Corn Flakes",6.05,3.333,0.698,2.5,0.2,0.094,85.55,11,1.61,2.56,373,0.4,0.214,0.368,29496
"GENERAL MILLS, TOTAL Raisin Bran",5.45,1.818,0.438,9.1,0,0.564,76.36,34.55,1.82,8.75,309,0.297,0.262,0.914,29497
"GENERAL MILLS, TOTAL, Blueberry Pomegranate",9.3,2.041,0.195,8,0.1224,0.287,76.8,21.9,3.7,2.9,353,0.8,1.1,1.3,29498
"GENERAL MILLS, TOTAL, Cranberry Crunch",6.2,1.724,0.334,7.3,0,0.24,78.8,27.9,2,4,335,0.5,0.4,1,29499
"GENERAL MILLS, TRIX",4.7,0.313,0.588,4.3,0.02,0.163,85.9,34.4,4.1,2,384,0.67,1.8,1.596,29500
"GENERAL MILLS, TRIX, reduced sugar, bowlpak",4.76,0.381,0.571,4.8,0.0171,0.143,85.49,28.57,4.76,2,400,0.67,2.334,1.596,29501
"GENERAL MILLS, WHEATIES",9.4,0.067,0.737,11.7,0.02,0.35,82.6,13.33,1.8,2.59,347,0.5,0.3,1,29502
"GENERAL MILLS, WHEATIES Raisin Bran",7,0,0.457,9,0,0.413,81,33,1.7,7,333,0.4,0.169,0.644,29503
"GENERAL MILLS, WHEATIES, Fuel",6,0.182,0.276,9.7,0.0273,0.215,82.8,24.9,5.8,3,375,0.8,3.1,1.3,29504
"GENERAL MILLS, Wheat CHEX",10,0.2,0.635,10.8,0.012,0.368,81.09,10,2,2.5,360,0.328,0.248,0.832,29505
"GENERAL MILLS, Whole Grain TOTAL",8.4,3.333,0.655,9.1,0.2,0.306,74.5,16.2,2.1,2.67,319,0.6,0.3,0.8,29506
"HEALTH VALLEY, FIBER 7 Flakes",14.44,0.071,0.053,14.1,0.0042,0.46,78.15,1.86,1.41,3,353,0.261,0.244,0.61,29507
JUST RIGHT with Crunchy Nuggets,7.7,0.026,0.614,5.1,0,0.22,83.7,21.2,2.7,3.2,371,0.2,0.5,1.9,29508
KASHI 7 Whole Grain Flakes,11,0.03,0.303,11.3,0,0.319,81.8,8.6,1.95,3.4,350,0.4,0.4,1.2,29509
KASHI 7 Whole Grain Honey Puffs,10,0.029,0.01,6.7,0,0.264,82.5,23,3.3,3,381,0.359,0.558,0.866,29510
KASHI 7 Whole Grain Nuggets,11.8,0.041,0.448,11.7,0,0,81,5,2.8,3,356,0.6,0.6,1.6,29511
"KASHI GO LEAN CRUNCH!, Honey Almond Flax",16.6,0.101,0.261,16.2,0,0.486,67,23,8.3,3.5,381,0.7,4.1,3.5,29512
KASHI GOLEAN,26.1,0.14,0.165,19.6,0,0.926,58,12,2,2.2,284,0.4,0.4,1.1,29513
KASHI GOLEAN CRUNCH!,17.5,0.087,0.19,15.2,0,0.566,67.9,24.6,5.8,4,377,0.47,3.23,2.1,29514
"KASHI GRANOLA, COCOA BEACH Cereal",11,0.051,0.25,12.7,0,0.272,61,19.8,16.7,4,410,3.2,8.1,5.4,29515
"KASHI GRANOLA, Mountain Medley Cereal",11,0.032,0.22,11.5,0,0.255,66.5,22,13,3,397,2.1,7.2,3.7,29516
"KASHI GRANOLA, ORCHARD SPICE CEREAL",11,0.04,0.24,11.4,0,0.279,67,20,13.4,3,403,1.7,6.99,4.7,29517
"KASHI GRANOLA, Summer Berry Cereal",12,0.038,0.24,12.4,0,0.235,66.6,17,11.6,4,390,1.6,5.5,4.5,29518
KASHI Good Friends,9.4,0.034,0.2,22.2,0,0.495,81.8,17,3.6,2,316,0.4,1,1.7,29519
"KASHI HEART TO HEART, Honey Toasted Oat",12,0.042,0.25,13.4,0.091,0.29,76.4,17.7,5,2.8,357,1,1.1,1.2,29520
KASHI Heart to Heart Warm Cinnamon,12.9,0.047,0.242,14.2,0.089,0.296,75.8,14.3,5,2.8,355,1,1.1,1.2,29521
"KASHI MIGHTY BITES, Honey Crunch Cereal",17,0.455,0.482,9,0.046,0.33,69,17,4,2.8,353,0.8,1.6,1.6,29522
KASHI ORGANIC PROMISE CINNAMON HARVEST,8.3,0,0.01,10.3,0,0.313,81,16.5,2,5.9,340,0.4,0.4,1.2,29523
KASHI ORGANIC PROMISE Island Vanilla Biscuit,10.7,0,0.01,10.7,0,0.31,80.8,16.9,2,2.5,350,,0.3,1.1,29524
KASHI ORGANIC PROMISE STRAWBERRY FIELDS,7.8,0.016,0.625,3.5,0.0225,0.122,87.1,29.3,0.43,2.4,369,,,,29525
"KASHI, CINNA-RAISIN CRUNCH",7.9,0.032,0.208,15.1,0,0.442,82,25,2.8,5,330,0.4,1,1.4,29526
"KASHI, HEART TO HEART, Wild Blueberry",10.9,0.045,0.241,7,0.0545,0.211,76,22,4.7,3,370,0.9,1.2,2.6,29527
"KASHI, Kashi U",10,0.364,0.23,12,0.055,0.22,76,18,7,3,367,0.5,2.2,3.7,29528
"KASHI, ORGANIC PROMISE Autumn Wheat",9.7,0,0,11.2,0,0.334,83,13.4,2.1,3.9,353,0.202,0.154,0.482,29529
