"NPI","last_name","first_name","sum_charges"
1376584599,"NGUYEN","LIEN",2497574.16000153
1275626897,"PHAM","RANDAL",2461530
1609935113,"NGUYEN","NGOC",2355439.23001086
1174516264,"NGUYEN","LAN",1724185.92000666
1336220433,"GARIANO","RAY",1028871.49999859
1932218740,"CAREY","BART",872029.00000035
1285605303,"SULLIVAN","JOHN",836526.57999985
1386683191,"MASTMAN","ROBERT",823133.00000236
1437178803,"WU","GLORIA",816299.999995367
1851313514,"DUGGAN","JOHN",800829
1497834147,"LEE","ALEXANDER",800580.00000284
1528155835,"NGUYEN","HAU",696176
1518982057,"NGUYEN","KHOA",689853.81000081
1518977222,"KIM","JEEHEE",684841.169998087
1083688642,"SASTRY","RAGHUNAND",612443.24000097
1386750438,"LUONG","DANNY",576594.899998242
1003922691,"FURLONG","MICHAEL",541074.99999994
1184663387,"CONTRERAS","CLAUDIO",532530.000000058
1902820087,"WANG","TIMOTHY",435385.00000039
1457321895,"BISWELL","RODERICK",404837
1629188875,"CHECHELNITSKY","MARINA",355867.720000565
1649296021,"BARSOUMIAN","KRIKOR",333034.050001831
1942264858,"KUMAR","ABHA",309237
1124065115,"SILVERSTEIN","DAVID",308042.489999854
1447223219,"SAUB","EDWARD",301987.99999759
1285624213,"CHEN","SANDY",290625.9499998
1477583565,"HEWES","GEORGE",278605
1275616963,"HUGHES","GERALD",270020.640002413
1386614725,"MASI","ROBERT",223424
1962516203,"RUTTI","PETER",184469.989999308
1780892836,"HENNESSY","AMY",158782.00000034
1912095167,"ELIASON","JOSEPH",143009
1659333540,"EGBERT","JAMES",136663
1952341125,"PULLEY","DOUGLAS",113050
1801821632,"LESSER","DONALD",113036.180000162
1952412835,"IANTOSCA","ANTHONY",93617.940000526
1639265770,"NEGER","ROBERT",78235.00000016
1013020817,"SAJJADI","HAMID",69047.99999987
1235181652,"EGBERT","PETER",27304.999999572
